,ETF_Trend
2015-12-31,1.0
2016-01-31,0.9951203500684206
2016-02-29,0.9863620116740969
2016-03-31,0.9839324691744747
2016-04-30,0.9874602826508274
2016-05-31,0.9847310539668153
2016-06-30,1.0707911424230077
2016-07-31,1.0934312769822814
2016-08-31,1.0583604772758615
2016-09-30,1.0517150958422679
2016-10-31,1.003044196625057
2016-11-30,0.9401107619008393
2016-12-31,0.9299304222348339
2017-01-31,0.9392910107793853
2017-02-28,0.9590779408146015
2017-03-31,0.9414485540170808
2017-04-30,0.9352602558759414
2017-05-31,0.952591513909324
2017-06-30,0.9536797229916377
2017-07-31,0.9821766529615638
2017-08-31,0.987264974677171
2017-09-30,1.0094324373761463
2017-10-31,1.0358835676294704
2017-11-30,1.0460612609715214
2017-12-31,1.0621204310364263
2018-01-31,1.1288893634537298
2018-02-28,1.084409951425756
2018-03-31,1.0654562618949075
2018-04-30,1.073799529371943
2018-05-31,1.0869559818357057
2018-06-30,1.0967028031580894
2018-07-31,1.0870508255464095
2018-08-31,1.121610084928135
2018-09-30,1.122986626229147
2018-10-31,1.020090348826826
2018-11-30,1.0042212006915732
2018-12-31,0.9310793021540058
2019-01-31,1.0242526868113901
2019-02-28,1.014233147136117
2019-03-31,1.044401459928411
2019-04-30,1.0655588109047516
2019-05-31,1.059722971575123
2019-06-30,1.1055336196463466
2019-07-31,1.107541827081966
2019-08-31,1.174257352000238
2019-09-30,1.1554120465844693
2019-10-31,1.175477109228972
2019-11-30,1.1516640646224148
2019-12-31,1.1642119655227376
2020-01-31,1.1696789294803929
2020-02-29,1.096458574445302
2020-03-31,1.0353916163470473
2020-04-30,1.0867585976246399
2020-05-31,1.0913781292884084
2020-06-30,1.106920057383155
2020-07-31,1.2249879391529532
2020-08-31,1.2176789239373103
2020-09-30,1.1751443409571338
2020-10-31,1.159214348558843
2020-11-30,1.17167415454255
2020-12-31,1.2162560929145145
2021-01-31,1.190061678721161
2021-02-28,1.208943799964502
2021-03-31,1.2021236337087085
2021-04-30,1.2401011280390248
2021-05-31,1.2867263001652407
2021-06-30,1.3501285706237507
2021-07-31,1.3372122036879708
2021-08-31,1.348556640716095
2021-09-30,1.3391024183616662
2021-10-31,1.4205760000758705
2021-11-30,1.3201206380033157
2021-12-31,1.4173734154837188
2022-01-31,1.3963396949621674
2022-02-28,1.4055444594352942
2022-03-31,1.5077047969614508
2022-04-30,1.5091154298158427
2022-05-31,1.534555926471942
2022-06-30,1.4268076137095858
2022-07-31,1.3941595645072706
2022-08-31,1.3422700938957954
2022-09-30,1.2246173607016404
2022-10-31,1.3110419475076789
2022-11-30,1.3126199697591998
2022-12-31,1.2850143108961154
2023-01-31,1.285977665783351
2023-02-28,1.2130997534960568
2023-03-31,1.243053119811708
2023-04-30,1.2421123573605168
2023-05-31,1.2326970943405924
2023-06-30,1.2436749198321677
2023-07-31,1.293164497590303
2023-08-31,1.265547057054694
2023-09-30,1.2030002925392709
2023-10-31,1.1830616904872098
2023-11-30,1.2904429424785353
2023-12-31,1.3209819821068498
2024-01-31,1.3233619013876943
2024-02-29,1.3661657171687889
2024-03-31,1.4443048048080616
2024-04-30,1.3878894368383723
2024-05-31,1.4361530250099135
2024-06-30,1.486285197591497
2024-07-31,1.5079718674074893
2024-08-31,1.5330850121768929
2024-09-30,1.5763266613129667
2024-10-31,1.6006490761778749
2024-11-30,1.6756563520199743
2024-12-31,1.6445250632275694
2025-01-31,1.71700783545616
2025-02-28,1.7009096629953948
2025-03-31,1.6756155685313439
2025-04-30,1.69368900441365
2025-05-31,1.736192321382008
2025-06-30,1.8244124195508873
2025-07-31,1.8246366167403403
2025-08-31,1.894130680534915
2025-09-30,2.076908403861761
2025-10-31,2.1532469495778526
2025-11-30,2.1948113725907734
2025-12-31,2.282439020325387
