,SP500_only,WithMidSmall
2015-02-28,0.9973997327888275,0.9973997327888275
2015-03-31,1.000694632618018,1.000694632618018
2015-04-30,1.0005684879078653,1.0005684879078653
2015-05-31,1.0009961184752831,1.0009961184752831
2015-06-30,1.0019528849700852,1.0019528849700852
2015-07-31,1.0024060237189425,1.0024060237189425
2015-08-31,1.0019023959729978,1.0019023959729978
2015-09-30,1.004872411226651,1.004872411226651
2015-10-31,1.00344988373372,1.00344988373372
2015-11-30,1.0014354465612083,1.0014354465612083
2015-12-31,0.9994222723587106,0.9994222723587106
2016-01-31,1.0059543532717077,1.0059543532717077
2016-02-29,1.0092734031677468,1.0191131427865194
2016-03-31,1.0524974020249867,1.0609916120877267
2016-04-30,1.0974279550014812,1.0253667037353125
2016-05-31,1.1009370813651234,1.0239263079471053
2016-06-30,1.1868286342618128,1.1020279354385532
2016-07-31,1.212645690197932,1.1279566146971756
2016-08-31,1.1971596903939834,1.0639490480183447
2016-09-30,1.2134798653879455,1.0667301576482913
2016-10-31,1.1478181029169738,1.0171514204686107
2016-11-30,1.224254909968164,1.0252925714956318
2016-12-31,1.2408801595515584,1.01363206140124
2017-01-31,1.2569228501406011,1.04125941327001
2017-02-28,1.2817837380822787,1.101428549168815
2017-03-31,1.3246804741856995,1.1060630152605622
2017-04-30,1.3422909851525773,1.0744491807603513
2017-05-31,1.4049183906880716,1.0988147350190127
2017-06-30,1.3944143824727524,1.1169259313453883
2017-07-31,1.46106501791356,1.1570382258156915
2017-08-31,1.5101298987461673,1.1638315666049204
2017-09-30,1.5509689043981003,1.2167085759138534
2017-10-31,1.650328155590306,1.2520654826882467
2017-11-30,1.6951813744773176,1.2177733563439415
2017-12-31,1.7405066799539155,1.2466511212966473
2018-01-31,1.82837898649561,1.254649046446365
2018-02-28,1.8633561143882489,1.2831444768991915
2018-03-31,1.8987072567485463,1.307669922138163
2018-04-30,1.960724303601006,1.3592260012370045
2018-05-31,2.1345036254874508,1.4629837292197054
2018-06-30,2.2081823984447344,1.4910681033224418
2018-07-31,2.2392360699778764,1.499621591014145
2018-08-31,2.411698878846583,1.6024411725455292
2018-09-30,2.65408830504483,1.6518576540532484
2018-10-31,2.4047836651202155,1.4195521705921965
