Date,Return
2017-01-04,0.0622769238777158
2017-01-05,-0.0301977719326878
2017-01-06,-0.0132694636151722
2017-01-09,-0.00654935374550565
2017-01-10,0.017924862528621598
2017-01-11,-0.030384157180538954
2017-01-12,-0.00405320298877045
2017-01-13,0.00445110626659105
2017-01-17,0.01775703302473495
2017-01-18,0.00755116549931725
2017-01-19,0.005192186068610299
2017-01-20,0.010949062194934
2017-01-23,-0.0027155085157103
2017-01-24,0.0007592737916605995
2017-01-25,0.00066209179429445
2017-01-26,0.0146323139659261
2017-01-27,-0.00754672147227835
2017-01-30,-0.0012405614810518002
2017-01-31,0.0018630829478277497
2017-02-01,0.00496878646974945
2017-02-02,-0.0014170517396701497
2017-02-03,0.010899577577468698
2017-02-06,0.0013755476669103494
2017-02-07,0.0009843633802535503
2017-02-08,-0.0032897620934706
2017-02-09,-0.0144622595407406
2017-02-10,0.0191293670726633
2017-02-13,0.00301240764369615
2017-02-14,0.05420645865984975
2017-02-15,0.0008754895407918499
2017-02-16,-0.0028287874381777
2017-02-17,-0.0077542456192079
2017-02-21,0.01038851756016465
2017-02-22,-0.007095961808236699
2017-02-23,0.009626742813986549
2017-02-24,0.0009711809610261815
2017-02-27,0.027068198004976
2017-02-28,0.01090666453392655
2017-03-01,0.04950789011642595
2017-03-02,0.024636524308386455
2017-03-03,0.0132839675995832
2017-03-06,0.00860184849092115
2017-03-07,-0.021706993204375198
2017-03-08,-0.051398631771139854
2017-03-09,0.02569413073273705
2017-03-10,0.026425005240601
2017-03-13,0.0819613613813675
2017-03-14,-0.0033846088353091503
2017-03-15,0.09123973531832681
2017-03-16,0.10321605213274905
2017-03-17,-0.01597502342264715
2017-03-20,-0.00454490797371635
2017-03-21,-0.011020696114512098
2017-03-22,-0.0096881213251073
2017-03-23,0.0142296117636075
2017-03-24,0.08042925327016605
2017-03-27,-0.007244006888278301
2017-03-28,0.0150934850519658
2017-03-29,0.02227275934352705
2017-03-30,-0.0044440164857967495
2017-03-31,-0.01217004974711535
2017-04-03,-0.0319963564153117
2017-04-04,0.0009785357674071498
2017-04-05,-0.0017925964211590998
2017-04-06,-0.010170521842761949
2017-04-07,-0.00756363438681315
2017-04-10,0.0009119929798507499
2017-04-11,0.0003858885642282
2017-04-12,0.01715090048165655
2017-04-13,0.0227062019561378
2017-04-17,0.00520412646957095
2017-04-18,0.013923238207527899
2017-04-19,-0.016428076697855648
2017-04-20,0.01725633553442975
2017-04-21,-0.00864049150499845
2017-04-24,0.01330965097451875
2017-04-25,0.0092332657955601
2017-04-26,0.023456067684012198
2017-04-27,0.0724865455619093
2017-04-28,0.051643112335046204
2017-05-02,-0.0034091880048326036
2017-05-03,0.008656893812501149
2017-05-04,0.06783089738896945
2017-05-05,-0.0067832826368958
2017-05-08,-0.008702523308950449
2017-05-09,-0.0027215443542699
2017-05-10,0.0136613480927831
2017-05-11,0.0028036215899572
2017-05-12,-0.017065395660806452
2017-05-15,0.006269731590062349
2017-05-16,-0.0073885846926456
2017-05-17,-0.0174188772333629
2017-05-18,0.04682035297950685
2017-05-19,0.11135325842171774
2017-05-22,0.03833479723879535
2017-05-23,0.02910570675067245
2017-05-24,0.06402449996777104
2017-05-25,-0.0266955797298151
2017-05-26,-0.0299455739513457
2017-05-30,0.0645508389912124
2017-05-31,0.007492731651288749
2017-06-01,-0.0061580476142938005
2017-06-02,0.00935956219180005
2017-06-05,0.0098338851779455
2017-06-06,0.03051905095310415
2017-06-07,-0.01201523409270475
2017-06-08,0.009939016133988399
2017-06-09,0.006339357038499197
2017-06-12,0.0474748875520982
2017-06-13,0.0013095328151727995
2017-06-14,-0.047903555897935754
2017-06-15,-0.0012622879565907777
2017-06-16,0.00868224534653465
2017-06-19,0.01832214418274035
2017-06-20,-0.0075257969889365
2017-06-21,-0.01875399838895155
2017-06-22,-0.00220283008454225
2017-06-23,0.0082704401266692
2017-06-26,-0.037941699808281
2017-06-27,0.03609235227976745
2017-06-28,0.046914607246446347
2017-06-29,-0.0391974617196997
2017-06-30,-0.01795575525203075
2017-07-03,-0.019785057086616903
2017-07-05,-0.0019573924252036003
2017-07-06,-0.0071537790405739494
2017-07-07,-0.03233309510176775
2017-07-10,-0.055476968160966096
2017-07-11,-0.02225764513835275
2017-07-12,0.08038478304251954
2017-07-13,-0.0364845235955025
2017-07-14,-0.015507207887726998
2017-07-17,0.0933015809521673
2017-07-18,0.08645487716514864
2017-07-19,-0.048656936001468754
2017-07-20,0.07149977231831195
2017-07-21,-0.019114637642794
2017-07-24,0.0004159165207719001
2017-07-25,-0.0430328553444503
2017-07-26,0.0013408648690559001
2017-07-27,-0.00521149246383415
2017-07-28,-0.0146214857127308
2017-07-31,0.002307388752689701
2017-08-01,0.051386797851821556
2017-08-02,-0.0180744747968298
2017-08-03,0.0165269029787253
2017-08-04,-0.00760445810824325
2017-08-07,0.0160802894962126
2017-08-08,0.0395086850023288
2017-08-09,-0.00352211350247795
2017-08-10,-0.00789264071944465
2017-08-11,0.023875936949559397
2017-08-14,0.01126921804300335
2017-08-15,-0.010552923657618
2017-08-16,0.01521405960767075
2017-08-17,-0.01059119033499065
2017-08-18,-0.005405664246074899
2017-08-21,0.03209876918061695
2017-08-22,0.0009209824449830997
2017-08-23,0.004436988262664
2017-08-24,0.00769061107767225
2017-08-25,0.0011164633532203
2017-08-28,0.0022016209830566
2017-08-29,0.0100032268132614
2017-08-30,0.013266391062256501
2017-08-31,0.00729621306172905
2017-09-01,0.0012133579821777501
2017-09-05,0.0079642204086703
2017-09-06,0.0118768909277679
