,StockV9j,CryptoV3,CryptoV2,HybridV3_Best
2015-08-07,1.04735885595933,1.0,1.0,1.0
2015-08-10,1.055349730755212,1.010224558050645,1.0,1.0081485501102783
2015-08-11,1.0614820549230053,1.0153846153846156,1.001332760048973,1.0138648824862693
2015-08-12,1.0557631817383464,1.029622551361682,1.001332760048973,1.012338344118963
2015-08-13,1.065591649672723,1.0211180124223604,1.0004652681722528,1.0182053581323323
2015-08-14,1.0666834541855614,1.0210224558050647,1.0000000000000002,1.019020903361754
2015-08-17,1.0819995772914002,1.0236980410893457,1.0005913571078227,1.031260374385919
2015-08-18,1.073336305738966,1.0235069278547542,1.000465268172253,1.0246162559548047
2015-08-19,1.065051806160055,1.037267080745342,1.0014462400909863,1.0210445045261505
2015-08-20,1.0142086960821086,1.0553272814142383,1.001080582177834,0.985606210711491
2015-08-21,0.9786520173059037,1.0619206880076448,1.0021485554621103,0.9591946383974153
2015-08-24,0.9341551449758557,1.0561872909699,1.002613823634363,0.9232691292891491
2015-08-25,0.9420720738422996,1.0430960344003823,1.0021485554621103,0.9272401136864687
2015-08-26,0.9836970799286475,1.028858098423316,1.0015584592436435,0.9574845363278727
2015-08-27,1.0018287647528779,1.0294314381270904,1.0016719392856563,0.9717100739008422
2015-08-28,1.0034606330514126,1.038700430004778,1.0012066711134038,0.9747261743670443
2015-08-31,0.9968184209293504,1.039847109412327,1.000842274089607,0.9697797773202157
2015-09-01,0.9593548839713395,1.041913043478261,1.003802787541825,0.9410072501389231
2015-09-02,0.9856849762002836,1.0363790731008125,0.9595736417875355,0.9606688693616514
2015-09-03,0.9690564991712686,1.0289368370759677,0.975161188259062,0.9463239922962599
2015-09-04,0.9643642414452375,1.0255973721930245,1.0159243391139423,0.9420439762008769
2015-09-08,0.9791127267092837,1.0258836120401338,1.03572659072716,0.9536222648777822
2015-09-09,0.981746184959803,1.012621165790731,1.006019435236203,0.9532085305923412
2015-09-10,1.0019605821712978,1.015006497849976,1.0030182858648906,0.9693590463737031
2015-09-11,1.0095454456921673,1.0129074056378402,0.9411749257376575,0.9748285635913392
2015-09-14,1.0044309263545572,1.013479885332059,0.9231497226472017,0.9709878447844305
2015-09-15,1.0157239801872777,1.0104266602962253,0.9206316886013514,0.9791364385141778
2015-09-16,1.0287186998413909,1.0238799331103676,0.914037621462702,0.9917650786427282
2015-09-17,1.0347512689140215,1.034375394171046,0.9076163082312533,0.9984510248208879
2015-09-18,1.0175268305618475,1.0420084567606303,0.8991601474186669,0.9866284688617455
2015-09-21,1.0064912006880817,1.0355203535594837,0.9113585710415816,0.9768393970016511
2015-09-22,0.9869643282104197,1.0284597706641183,0.8824282351108284,0.9603460226069508
2015-09-23,0.9898791811637446,1.0325625418060198,0.916301570664767,0.9633812242247314
2015-09-24,0.9856981426586687,1.0542213569039653,0.8938706551736172,0.9641674672557227
2015-09-25,0.9591990706134348,1.0477332537028188,0.8578168702245319,0.94224449147587
2015-09-28,0.9158368728468838,1.0344708074534161,0.8365862540423651,0.9057824722486417
2015-09-29,0.9034738932454938,1.0302726230291448,0.8654235471759291,0.8952654829871151
2015-09-30,0.9338941956074761,1.0195863354037267,0.8756544988572655,0.9175234298411845
2015-10-01,0.9359398941812275,1.0152909248447204,0.8719654580670677,0.9183582144802449
2015-10-02,0.9494754617552138,1.0367896364548492,0.8904292633254914,0.9328724891668149
2015-10-05,0.9499771657570518,1.0346968415193498,0.8886319017516625,0.9328902270113327
2015-10-06,0.9544566376347015,1.0450656891543237,0.8975370113674511,0.9382790735855054
2015-10-07,0.9578553750157307,1.0435436564739606,0.8962298393137574,0.9406786762164124
2015-10-08,0.9577683065073128,1.0382165420926897,0.8916547371258294,0.9396498692905164
2015-10-09,0.9675838126537183,1.0546735204491158,0.9057885349563928,0.9503326431808631
2015-10-12,0.9711032101997105,1.0588591103201141,0.9093832581040504,0.9538522632891747
2015-10-13,0.9723867257419692,1.0640910976588625,0.9138766620386226,0.9558034615812934
2015-10-14,0.980285381128967,1.082640870950788,0.9298078214430149,0.965347031488616
2015-10-15,0.9816833170953241,1.077694264739608,0.9255595122685103,0.9655662002980974
2015-10-16,0.9793199426100527,1.0700841013377922,0.9190236520000415,0.9623428682203314
2015-10-19,0.9789577001150845,1.0656131303392256,0.9151838340923163,0.961253935558937
2015-10-20,0.9814999106252419,1.072367150358337,0.9209844100805823,0.964469439765734
2015-10-21,0.9745874256405818,1.0628544461060674,0.9128145847449965,0.9573242911648945
2015-10-22,0.9790594108410839,1.0624739379359764,0.912487791731573,0.9607699629743507
2015-10-23,0.9785209611529487,1.0606665241280453,0.9109355249178117,0.9600203698068442
2015-10-26,0.9777657947520921,1.0600006348303865,0.9103636371443208,0.9593071181688603
2015-10-27,0.9772839220012023,1.0623788108934538,0.9124060934782171,0.9593593503700009
2015-10-28,0.9771092433802232,1.0538173770664112,0.9050532506761899,0.9576759251560195
2015-10-29,0.9718470276689648,1.0437339105590056,0.896393235820469,0.9517171718654395
2015-10-30,0.9691396848835905,1.0397385747730523,0.892961909179523,0.9488675388532747
2015-11-02,0.9672139086576614,1.0298856010896793,0.9158930389094396,0.9455607753106695
2015-11-03,0.9614236725931058,1.121507008974808,1.0023765038160797,0.9578562164982288
2015-11-04,0.9580430682872252,1.0505528249112024,0.9361196586121805,0.9430416645942087
2015-11-05,0.9594839257315168,1.047694078894902,0.9335916644129061,0.9436630636488423
2015-11-06,0.9537319378659753,1.062133683483824,0.9478521910005357,0.9417385128224831
2015-11-09,0.952321274982205,1.0846462691789507,0.9688561279251058,0.9446163210716335
