,StockV11b,CryptoV3_90d,CryptoV3_45d,HybridV4_Best
2015-08-07,1.0423867547506789,1.0,1.0,1.0
2015-08-10,1.0497115212390955,1.010224558050645,1.010224558050645,1.0075065642020762
2015-08-11,1.0547841173179249,1.0153846153846156,1.0153846153846156,1.012416839482587
2015-08-12,1.0505851545616016,1.029622551361682,1.029622551361682,1.0111205292984524
2015-08-13,1.0589374302689334,1.0211180124223604,1.0211180124223604,1.0167005202719301
2015-08-14,1.0604669025470417,1.0210224558050647,1.0210224558050647,1.0179344462110986
2015-08-17,1.0745356489670392,1.0236980410893457,1.0236980410893457,1.0298133842135984
2015-08-18,1.0665908163282312,1.0235069278547542,1.0235069278547542,1.0233125031517067
2015-08-19,1.0589576715222375,1.037267080745342,1.037267080745342,1.0191512270030814
2015-08-20,1.0128500973092527,1.0553272814142383,1.0553272814142383,0.9840947203615246
2015-08-21,0.9787662743042099,1.0619206880076448,1.0619206880076448,0.9568682353270581
2015-08-24,0.9351107146803178,1.0561872909699,1.0561872909699,0.9198162819084083
2015-08-25,0.9402749402345765,1.0430960344003823,1.0430960344003823,0.9224239343170084
2015-08-26,0.9802056262044905,1.028858098423316,1.028858098423316,0.9538320301284365
2015-08-27,0.9979009819020759,1.0294314381270904,1.0294314381270904,0.9685481147221118
2015-08-28,0.9989017383334307,1.038700430004778,1.038700430004778,0.9706818562015733
2015-08-31,0.9914424433372839,1.039847109412327,1.039847109412327,0.9646813160253567
2015-09-01,0.9642630589176039,1.041913043478261,1.041913043478261,0.9424899135222501
2015-09-02,0.9828106926308978,1.0363790731008125,1.0363790731008125,0.9571485312251631
2015-09-03,0.9708592364025027,1.0289368370759677,1.0289368370759677,0.9462240558951682
2015-09-04,0.9683055532723074,1.0255973721930245,1.0255973721930245,0.9436478516791443
2015-09-08,0.9784664432312082,1.0258836120401338,1.0258836120401338,0.9521041801315416
2015-09-09,0.979582198378204,1.012621165790731,1.012621165790731,0.9511807242519086
2015-09-10,0.993711616227994,1.015006497849976,1.015006497849976,0.9631786082867355
2015-09-11,0.9999618203272137,1.0129074056378402,1.0129074056378402,0.9680292569933246
2015-09-14,0.9966565164938996,1.013479885332059,1.013479885332059,0.9653915342489936
2015-09-15,1.0028093979758848,1.0104266602962253,1.0104266602962253,0.97002116769678
2015-09-16,1.013280016829611,1.0238799331103676,1.0238799331103676,0.9805674895505011
2015-09-17,1.0205458728287296,1.034375394171046,1.034375394171046,0.9880518050248674
2015-09-18,1.0091328056123967,1.0420084567606303,1.0420084567606303,0.9797532634626999
2015-09-21,0.9993225986523895,1.0355203535594837,1.0355203535594837,0.9707422865127335
2015-09-22,0.9856183434642853,1.0284597706641183,1.0284597706641183,0.9584339812805188
2015-09-23,0.987307936385068,1.0325625418060198,1.0325625418060198,0.9604040379039613
2015-09-24,0.9858546728357541,1.0542213569039653,1.0542213569039653,0.962224209820631
2015-09-25,0.9655967168444374,1.0477332537028188,1.0477332537028188,0.9445293973312695
2015-09-28,0.9344809497661782,1.0344708074534161,1.0344708074534161,0.9168646343939484
2015-09-29,0.926193423051249,1.0302726230291448,1.0302726230291448,0.9093948981177696
2015-09-30,0.9491077486962757,1.0195863354037267,1.0195863354037267,0.9271039378046173
2015-10-01,0.952664634327852,1.0152909248447204,1.0183459627329192,0.9294713293620805
2015-10-02,0.9636087201869143,1.0367896364548492,1.039909364548495,0.9414995501403197
2015-10-05,0.9634927512965902,1.0346968415193498,1.0378102723363591,0.9411181709675189
2015-10-06,0.9664161842017764,1.0450656891543237,1.048210320114668,0.9449600455886288
2015-10-07,0.969972728126774,1.0435436564739606,1.0466837075967512,0.947709554787953
2015-10-08,0.9705639964464587,1.0382165420926897,1.0413405637840423,0.9474749128835559
2015-10-09,0.9776079389081426,1.0546735204491158,1.0578470616340183,0.9555726209966018
2015-10-12,0.9811896994256257,1.0588591103201141,1.0620452460582896,0.959117338907309
2015-10-13,0.9816028723140203,1.0640910976588625,1.067292976588629,0.9601715076715743
2015-10-14,0.9871512146677947,1.082640870950788,1.0858985666507408,0.9672953612967807
2015-10-15,0.9891248162992174,1.077694264739608,1.080937075967511,0.9682762411485429
2015-10-16,0.9880875280731628,1.0700841013377922,1.0733040133779266,0.9663875045290424
2015-10-19,0.9886575743154503,1.0656131303392256,1.0688195891065457,0.9662557458843909
2015-10-20,0.98908581128896,1.072367150358337,1.0755939321548018,0.9675301411075267
2015-10-21,0.9844922335022446,1.0628544461060674,1.0660526039178213,0.9624232855647102
2015-10-22,0.9897418066900499,1.0624739379359764,1.065670950788342,0.9667337139398251
2015-10-23,0.9882920281595571,1.0606665241280453,1.0638580984233157,0.9652833672140446
