,StockV11b,CryptoV7_best,HybridV7_best
2015-08-07,1.0423867547506789,0.904352656909938,1.0
2015-08-10,1.0497115212390955,0.904352656909938,1.0057620729476155
2015-08-11,1.0547841173179249,0.9089719383583998,1.0106721575483006
2015-08-12,1.0505851545616016,0.9217177334661922,1.0099239377401361
2015-08-13,1.0589374302689334,0.9141044733011351,1.0150061998169886
2015-08-14,1.0604669025470417,0.9140189310520895,1.0161912392805983
2015-08-17,1.0745356489670392,0.9140189310520895,1.0272459550824453
2015-08-18,1.0665908163282312,0.9138482937084786,1.0209833836622795
2015-08-19,1.0589576715222375,0.9261341824484676,1.0174625681486869
2015-08-20,1.012850097309253,0.9422594114197029,0.9843246345677239
2015-08-21,0.97876627430421,0.948146399774281,0.9582699996666307
2015-08-24,0.9351107146803178,0.948146399774281,0.923222074898792
2015-08-25,0.9402749402345764,0.9363942911368904,0.9253431302646484
2015-08-26,0.9802056262044904,0.9236128007210425,0.9552928066534015
2015-08-27,0.997900981902076,0.9241274916102712,0.9695300306468275
2015-08-28,0.9989017383334308,0.9324483276528032,0.9718986553920199
2015-08-31,0.991442443337284,0.9324483276528032,0.9659473827403187
2015-09-01,0.964263058917604,0.9357044420114511,0.9448405596078431
2015-09-02,0.9828106926308978,0.9307345832535149,0.9588399643335909
2015-09-03,0.9708592364025028,0.9240509800962902,0.9480394197047892
2015-09-04,0.9683055532723074,0.9210519273975355,0.9454407754829921
2015-09-08,0.9784664432312082,0.9210519273975355,0.953575961853553
2015-09-09,0.979582198378204,0.9091447270712466,0.9522486273460246
2015-09-10,0.993711616227994,0.9112863098637445,0.9639152202990889
2015-09-11,0.9999618203272136,0.9094017170063462,0.9685278919104219
2015-09-14,0.9966565164938996,0.9094017170063462,0.9659027429409747
2015-09-15,1.0028093979758848,0.9066620394555834,0.9702686404688756
2015-09-16,1.013280016829611,0.9187337436636323,0.9809012850939172
2015-09-17,1.0205458728287296,0.9281513852443795,0.9884787849319654
2015-09-18,1.0091328056123967,0.9350005791212865,0.980727121959101
2015-09-21,0.9993225986523896,0.9350005791212865,0.9729091900604989
2015-09-22,0.9856183434642852,0.9286253793742143,0.960774660816576
2015-09-23,0.987307936385068,0.9323298873353508,0.9628151013275624
2015-09-24,0.985854672835754,0.9518862433162346,0.965288233292997
2015-09-25,0.9655967168444374,0.9460279516567629,0.9479539121067346
2015-09-28,0.9344809497661782,0.9460279516567629,0.9229051765997688
2015-09-29,0.926193423051249,0.9421886941514228,0.9155194111844551
2015-09-30,0.9491077486962756,0.9324160386832843,0.9323833277289872
2015-10-01,0.952664634327852,0.9312817126021611,0.9350444075981517
2015-10-02,0.9636087201869143,0.9510015352432262,0.9474164840885322
2015-10-05,0.9634927512965902,0.9510015352432262,0.9473229875421155
2015-10-06,0.9664161842017764,0.9605316600332889,0.951388758471725
2015-10-07,0.969972728126774,0.9591327426329128,0.9540103677388699
2015-10-08,0.9705639964464589,0.9542365317315962,0.9536106178216549
2015-10-09,0.9776079389081426,0.9693623261231635,0.9620066146002804
2015-10-12,0.9811896994256256,0.9693623261231635,0.9648967869091678
2015-10-13,0.9816028723140204,0.9741520959494842,0.9660881496679684
2015-10-14,0.9871512146677948,0.9911340071518935,0.9735973216141559
2015-10-15,0.9891248162992174,0.9866054974979177,0.9743927452992234
2015-10-16,0.9880875280731628,0.979638559568724,0.9723163119648854
2015-10-19,0.9886575743154504,0.979638559568724,0.972776288940858
2015-10-20,0.98908581128896,0.9858476595267119,0.9742316115467892
2015-10-21,0.9844922335022446,0.9771024483182784,0.9689658567242705
2015-10-22,0.98974180669005,0.976752639869941,0.9731401771324704
2015-10-23,0.9882920281595572,0.9750910497403387,0.9716733195471184
2015-10-26,0.988178847368553,0.9750910497403387,0.9715820719234892
2015-10-27,0.987661581202568,0.977278725971471,0.9715574021916621
2015-10-28,0.988250290736302,0.9694030915393943,0.9706229577299322
2015-10-29,0.9835221394758206,0.9601273443193928,0.9651432933863949
2015-10-30,0.981893940793134,0.9564520482510904,0.9631681101787865
2015-11-02,0.983144045010122,0.9564520482510904,0.9641736460949049
2015-11-03,0.983021631595745,0.9422712968220063,0.9615020616701154
2015-11-04,0.98336388239291,0.9376360314910523,0.96092518772162
2015-11-05,0.9886002859700606,0.9154252036204388,0.9610238095402653
