,StockV9j,Crypto
2015-08-07,1.04735885595933,1.0
2015-08-10,1.055349730755212,1.0
2015-08-11,1.0614820549230053,1.001332760048973
2015-08-12,1.0557631817383464,1.001332760048973
2015-08-13,1.065591649672723,1.0004652681722528
2015-08-14,1.0666834541855614,1.0000000000000002
2015-08-17,1.0819995772914002,1.0005913571078227
2015-08-18,1.073336305738966,1.000465268172253
2015-08-19,1.065051806160055,1.0014462400909863
2015-08-20,1.0142086960821086,1.001080582177834
2015-08-21,0.9786520173059037,1.0021485554621103
2015-08-24,0.9341551449758557,1.002613823634363
2015-08-25,0.9420720738422996,1.0021485554621103
2015-08-26,0.9836970799286475,1.0015584592436435
2015-08-27,1.0018287647528779,1.0016719392856563
2015-08-28,1.0034606330514126,1.0012066711134038
2015-08-31,0.9968184209293504,1.000842274089607
2015-09-01,0.9593548839713395,1.003802787541825
2015-09-02,0.9856849762002836,0.9595736417875355
2015-09-03,0.9690564991712686,0.975161188259062
2015-09-04,0.9643642414452375,1.0159243391139423
2015-09-08,0.9791127267092837,1.03572659072716
2015-09-09,0.981746184959803,1.006019435236203
2015-09-10,1.0019605821712978,1.0030182858648906
2015-09-11,1.0095454456921673,0.9411749257376575
2015-09-14,1.0044309263545572,0.9231497226472017
2015-09-15,1.0157239801872777,0.9206316886013514
2015-09-16,1.0287186998413909,0.914037621462702
2015-09-17,1.0347512689140215,0.9076163082312533
2015-09-18,1.0175268305618475,0.8991601474186669
2015-09-21,1.0064912006880817,0.9113585710415816
2015-09-22,0.9869643282104197,0.8824282351108284
2015-09-23,0.9898791811637446,0.916301570664767
2015-09-24,0.9856981426586687,0.8938706551736172
2015-09-25,0.9591990706134348,0.8578168702245319
2015-09-28,0.9158368728468838,0.8365862540423651
2015-09-29,0.9034738932454938,0.8654235471759291
2015-09-30,0.9338941956074761,0.8756544988572655
2015-10-01,0.9359398941812275,0.8719654580670677
2015-10-02,0.9494754617552138,0.8904292633254914
2015-10-05,0.9499771657570518,0.8886319017516625
2015-10-06,0.9544566376347015,0.8975370113674511
2015-10-07,0.9578553750157307,0.8962298393137574
2015-10-08,0.9577683065073128,0.8916547371258294
2015-10-09,0.9675838126537183,0.9057885349563928
2015-10-12,0.9711032101997105,0.9093832581040504
2015-10-13,0.9723867257419692,0.9138766620386226
2015-10-14,0.980285381128967,0.9298078214430149
2015-10-15,0.9816833170953241,0.9255595122685103
2015-10-16,0.9793199426100527,0.9190236520000415
2015-10-19,0.9789577001150845,0.9151838340923163
2015-10-20,0.9814999106252419,0.9209844100805823
2015-10-21,0.9745874256405818,0.9128145847449965
2015-10-22,0.9790594108410839,0.912487791731573
2015-10-23,0.9785209611529487,0.9109355249178117
2015-10-26,0.9777657947520921,0.9103636371443208
2015-10-27,0.9772839220012023,0.9124060934782171
2015-10-28,0.9771092433802232,0.9050532506761899
2015-10-29,0.9718470276689648,0.896393235820469
2015-10-30,0.9691396848835905,0.892961909179523
2015-11-02,0.9672139086576614,0.9158930389094396
2015-11-03,0.9614236725931058,1.0023765038160797
2015-11-04,0.9580430682872252,0.9361196586121805
2015-11-05,0.9594839257315168,0.9335916644129061
2015-11-06,0.9537319378659753,0.9478521910005357
2015-11-09,0.952321274982205,0.9688561279251058
2015-11-10,0.9514537794156868,0.8626701136197275
2015-11-11,0.953558179121337,0.762178999564595
2015-11-12,0.9487179834047429,0.8528343522176083
2015-11-13,0.9423683709201662,0.8585060774550235
2015-11-16,0.9456561667159857,0.8592505001630264
2015-11-17,0.9400109417660443,0.8868907137473035
2015-11-18,0.9479953556066693,0.889909432787998
2015-11-19,0.9531648327447138,0.8542831249739316
2015-11-20,0.9539595086264503,0.8417274383942567
2015-11-23,0.9500315921053409,0.8435622951670394
2015-11-24,0.9511650863142628,0.833900580910039
