,StockV11b,CryptoV5D,HybridV6_w20,HybridV6_w25
2015-08-07,1.0423867547506789,0.904352656909938,1.0,1.0
2015-08-10,1.0497115212390955,0.904352656909938,1.0056215345830395,1.0052701886715996
2015-08-11,1.0547841173179249,0.9089719383583998,1.0105364732614575,1.0101972557696166
2015-08-12,1.0505851545616016,0.9217177334661922,1.0101522093583202,1.010722454146798
2015-08-13,1.0589374302689334,0.9141044733011351,1.0149081292582545,1.0146618693632106
2015-08-14,1.0604669025470417,0.9140189310520895,1.0160618371382308,1.0157372735301733
2015-08-17,1.0745356489670392,0.9140189310520895,1.0268455523485038,1.0258437771581836
2015-08-18,1.0665908163282312,0.9138482937084786,1.020733432447053,1.0201072853489352
2015-08-19,1.0589576715222375,0.9261341824484676,1.017634035446007,1.0180605360705357
2015-08-20,1.012850097309253,0.9422594114197029,0.9857310510051396,0.9892468147978648
2015-08-21,0.97876627430421,0.948146399774281,0.96042578522396,0.9658247984720338
2015-08-24,0.9351107146803178,0.948146399774281,0.9261557649080483,0.9335160467433055
2015-08-25,0.9402749402345764,0.9363942911368904,0.9279516740826683,0.9344899189025146
2015-08-26,0.9802056262044904,0.9236128007210425,0.9569443065637117,0.9610648047834544
2015-08-27,0.997900981902076,0.9241274916102712,0.9708713004969121,0.9742110542940325
2015-08-28,0.9989017383334308,0.9324483276528032,0.9733985634011952,0.9771367503343911
2015-08-31,0.991442443337284,0.9324483276528032,0.9675834832950386,0.9716641765621592
2015-09-01,0.964263058917604,0.9357044420114511,0.9470389923239314,0.9525345530975281
2015-09-02,0.9828106926308978,0.9307345832535149,0.9606060427587925,0.965011267352842
2015-09-03,0.9708592364025028,0.9240509800962902,0.9498812712438359,0.9544775764464993
2015-09-04,0.9683055532723074,0.9210519273975355,0.9472658907329627,0.9518201800882364
2015-09-08,0.9784664432312082,0.9210519273975355,0.9552179793645157,0.9593111059208836
2015-09-09,0.979582198378204,0.9091447270712466,0.9536195964862997,0.957031087917488
2015-09-10,0.993711616227994,0.9112863098637445,0.9650728142905299,0.9679477906956955
2015-09-11,0.9999618203272136,0.9094017170063462,0.9695297074047319,0.9720134646080485
2015-09-14,0.9966565164938996,0.9094017170063462,0.9669659373141114,0.9696037727338499
2015-09-15,1.0028093979758848,0.9066620394555834,0.9711589868509354,0.9733629150059139
2015-09-16,1.013280016829611,0.9187337436636323,0.9818571942471249,0.9842252321826467
2015-09-17,1.0205458728287296,0.9281513852443795,0.989502561820413,0.9920406117472897
2015-09-18,1.0091328056123967,0.9350005791212865,0.9821102269560812,0.9855500628252497
2015-09-21,0.9993225986523896,0.9350005791212865,0.9744722197242129,0.9783643509704832
2015-09-22,0.9856183434642852,0.9286253793742143,0.9624525784337283,0.9666340007530232
2015-09-23,0.987307936385068,0.9323298873353508,0.9645403738467724,0.9688408209121554
2015-09-24,0.985854672835754,0.9518862433162346,0.9674509723744066,0.9728518106064606
2015-09-25,0.9655967168444374,0.9460279516567629,0.9503563274879294,0.9563619062452227
2015-09-28,0.9344809497661782,0.9460279516567629,0.9258566036495118,0.9332482705538429
2015-09-29,0.926193423051249,0.9421886941514228,0.9185362916391501,0.9260939761533857
2015-09-30,0.9491077486962756,0.9324160386832843,0.9348107350512294,0.9408764460340672
2015-10-01,0.952664634327852,0.9312817126021611,0.9373859319847414,0.9432348198371309
2015-10-02,0.9636087201869143,0.9510015352432262,0.9499706007043155,0.9563548700858655
2015-10-05,0.9634927512965902,0.9510015352432262,0.9498791386541315,0.9562685481607548
2015-10-06,0.9664161842017764,0.9605316600332889,0.9540886152214332,0.9608404096370509
2015-10-07,0.969972728126774,0.9591327426329128,0.9566196498963744,0.9631425861044759
2015-10-08,0.9705639964464589,0.9542365317315962,0.9561094764235544,0.9623537446271885
2015-10-09,0.9776079389081426,0.9693623261231635,0.9646918031275241,0.9714056270651447
2015-10-12,0.9811896994256256,0.9693623261231635,0.967519353825069,0.9740749044280378
2015-10-13,0.9816028723140204,0.9741520959494842,0.9688014196204673,0.9755858009492803
2015-10-14,0.9871512146677948,0.9911340071518935,0.976559934188135,0.9839732759324787
2015-10-15,0.9891248162992174,0.9866054974979177,0.97722949137079,0.9843247639049343
2015-10-16,0.9880875280731628,0.979638559568724,0.9750294946164285,0.9818128649524202
2015-10-19,0.9886575743154504,0.979638559568724,0.9754795048705683,0.982237684655934
2015-10-20,0.98908581128896,0.9858476595267119,0.9770540758311818,0.9841131702081283
2015-10-21,0.9844922335022446,0.9771024483182784,0.9716904753678353,0.9785028513242335
2015-10-22,0.98974180669005,0.976752639869941,0.9757659498416326,0.9823285010364773
2015-10-23,0.9882920281595572,0.9750910497403387,0.9742905222118611,0.9808315425643409
2015-10-26,0.988178847368553,0.9750910497403387,0.9742012603590241,0.9807472977611859
2015-10-27,0.987661581202568,0.977278725971471,0.9742304367121302,0.9809123572845697
2015-10-28,0.988250290736302,0.9694030915393943,0.9731247858687688,0.979374642977864
2015-10-29,0.9835221394758206,0.9601273443193928,0.9675378859624546,0.9735175877563558
2015-10-30,0.981893940793134,0.9564520482510904,0.9655157636586558,0.9713772222452735
2015-11-02,0.983144045010122,0.9564520482510904,0.9664991654519233,0.9723047583400838
2015-11-03,0.983021631595745,0.9422712968220063,0.9635369498885359,0.968610012939602
2015-11-04,0.98336388239291,0.9579564100884826,0.9670131440253973,0.9728938251935588
2015-11-05,0.9886002859700606,0.8927568774254971,0.957969424140215,0.960225265900516
2015-11-06,0.9881521220489234,0.8476524765239504,0.9479421800614066,0.947770520563825
