,StockV12d
2015-02-28,0.9973997327888275
2015-03-31,1.000694632618018
2015-04-30,1.0005684879078653
2015-05-31,1.0009961184752831
2015-06-30,1.0019528849700852
2015-07-31,1.0362586125594753
2015-08-31,0.9909851790325312
2015-09-30,0.9343483584427659
2015-10-31,0.9784169646565961
2015-11-30,0.9876505633934618
2015-12-31,0.9506539871208869
2016-01-31,0.9761467003697942
2016-02-29,0.9786352927489989
2016-03-31,1.020547157901366
2016-04-30,1.0641137719897966
2016-05-31,1.067516373203103
2016-06-30,1.1508005504635903
2016-07-31,1.1758795187204834
2016-08-31,1.16207848170199
2016-09-30,1.1838861007668806
2016-10-31,1.1195539326966497
2016-11-30,1.2007655628710632
2016-12-31,1.2257028654373654
2017-01-31,1.249724691160477
2017-02-28,1.2742428847049108
2017-03-31,1.316887255305702
2017-04-30,1.3343941619927342
2017-05-31,1.3966531246555995
2017-06-30,1.3862109125010922
2017-07-31,1.4524694360321952
2017-08-31,1.5012456635909746
2017-09-30,1.5418444095605999
2017-10-31,1.6406191210034977
2017-11-30,1.6852084642170388
2017-12-31,1.7302671166906933
2018-01-31,1.8176224622506905
2018-02-28,1.8523938164350482
2018-03-31,1.8875369847250394
2018-04-30,1.9491891795019753
2018-05-31,2.121946141416585
2018-06-30,2.205603597006695
2018-07-31,2.236392932399382
2018-08-31,2.4418713266440255
2018-09-30,2.6871500781454305
2018-10-31,2.3314093420566255
2018-11-30,2.3494121264714085
2018-12-31,2.381417843576482
2019-01-31,2.4543935616288493
2019-02-28,2.5910631470623837
2019-03-31,2.706321077785384
2019-04-30,2.6881674468025865
2019-05-31,2.757153189619295
2019-06-30,2.859045620947222
2019-07-31,3.089486802362249
2019-08-31,3.35687286743376
2019-09-30,3.2376499817431585
2019-10-31,3.3164019601319277
2019-11-30,3.3099381417638742
2019-12-31,3.498487053237092
2020-01-31,3.850730617756076
2020-02-29,3.9560139023558407
2020-03-31,3.606163520943523
2020-04-30,4.049452732158486
2020-05-31,4.148179793245077
2020-06-30,4.15995290822066
2020-07-31,4.868787177466112
2020-08-31,5.213117812557356
2020-09-30,5.0384766704880155
2020-10-31,5.014705510180385
2020-11-30,5.743213633934668
2020-12-31,6.1139772463421025
2021-01-31,6.279565166734836
2021-02-28,6.80003009517206
2021-03-31,7.089213176821929
2021-04-30,7.73165388860743
2021-05-31,8.37167574886423
2021-06-30,7.969397506281832
2021-07-31,8.34963457978304
2021-08-31,8.896510934245295
2021-09-30,8.382331702873271
2021-10-31,9.11053496739279
2021-11-30,8.953392368006849
2021-12-31,9.14915705362644
2022-01-31,8.797088449600352
2022-02-28,8.946220041530689
2022-03-31,10.101282021187359
2022-04-30,9.771196282486677
2022-05-31,10.08759450666715
2022-06-30,9.524195848112685
2022-07-31,9.937702565204223
2022-08-31,10.356209126067608
2022-09-30,9.768238650303706
2022-10-31,10.9086572002148
2022-11-30,11.414840364811658
2022-12-31,11.105907234491344
2023-01-31,11.523908027562936
2023-02-28,11.03147304464852
2023-03-31,11.226957406777798
2023-04-30,11.745760494781523
2023-05-31,12.308364079761349
2023-06-30,12.948706399449552
2023-07-31,13.33368721884545
2023-08-31,12.492806488253295
2023-09-30,11.89963863831584
2023-10-31,12.146383888698178
2023-11-30,12.702156225470354
2023-12-31,14.149108521739759
2024-01-31,14.59789638546772
2024-02-29,16.125771733622408
2024-03-31,16.62940721924582
2024-04-30,15.608299195693391
2024-05-31,16.380426259816467
2024-06-30,16.246220695230143
2024-07-31,15.704149430848798
2024-08-31,16.27852949141998
2024-09-30,16.909331520577652
2024-10-31,17.504687892726263
2024-11-30,20.266689603939277
2024-12-31,18.571195626614657
2025-01-31,19.461143313855683
2025-02-28,19.145741526610347
2025-03-31,18.77454942605555
2025-04-30,18.258767034762784
2025-05-31,18.23125487992595
2025-06-30,18.270087519102685
2025-07-31,18.622058409864344
2025-08-31,19.243405666573494
2025-09-30,20.204094132041863
2025-10-31,21.344328986981036
2025-11-30,22.792072403315338
2025-12-31,22.88190923764934
