Date,Return
2017-01-04,0.11022891355716591
2017-01-05,-0.05984108801075916
2017-01-06,-0.023015050031784057
2017-01-07,-0.020496580752911386
2017-01-08,0.03801026045959932
2017-01-09,-0.004268167994191385
2017-01-10,0.02594112975055829
2017-01-11,-0.0656089700310648
2017-01-12,0.0028139419634378715
2017-01-13,0.00031753692345426465
2017-01-14,-0.0007880411721205016
2017-01-15,0.007647950006471005
2017-01-16,-0.020341155682429668
2017-01-17,0.05394230590418814
2017-01-18,-0.0011099210299179152
2017-01-19,0.020311216134653254
2017-01-20,0.01173968689824223
2017-01-21,0.024972807006051756
2017-01-22,-0.013426452318890392
2017-01-23,0.005738188370473685
2017-01-24,-0.022366696268826036
2017-01-25,-0.0007318442986699036
2017-01-26,0.011686106413351327
2017-01-27,-0.00899294912008941
2017-01-28,0.002137539706408509
2017-01-29,-0.005353906800670494
2017-01-30,0.011654441947431593
2017-01-31,0.0136070975422804
2017-02-01,0.0018902877013562414
2017-02-02,0.008034770925154922
2017-02-03,0.012810331647877593
2017-02-04,0.0268212149502971
2017-02-05,-0.008311363034352426
2017-02-06,0.008866644354196929
2017-02-07,0.011158406898279072
2017-02-08,-0.002471390138735541
2017-02-09,-0.03846835875246557
2017-02-10,0.029153882529546538
2017-02-11,0.007095925531862335
2017-02-12,-0.0020971249735880493
2017-02-13,-0.002730331886045323
2017-02-14,0.10422161069415314
2017-02-15,-0.001246961330895524
2017-02-16,0.0023618275402579325
2017-02-17,-0.011097809580437379
2017-02-18,0.006611512846781409
2017-02-19,-0.0009677788402371323
2017-02-20,-0.013548971441453506
2017-02-21,0.019346957400057985
2017-02-22,-0.004246277404973964
2017-02-23,0.03175128155216789
2017-02-24,2.3155175338462897e-05
2017-02-25,0.022523144596184208
2017-02-26,0.05694614775327689
2017-02-27,0.04905982539636122
2017-02-28,0.024382980819112943
2017-03-01,0.07013730385556283
2017-03-02,0.06531642419313455
2017-03-03,0.01791050214375467
2017-03-04,-0.03422811276785631
2017-03-05,0.024446290209621857
2017-03-06,0.019889247389169862
2017-03-07,-0.035979048067112496
2017-03-08,-0.10017886292219125
2017-03-09,0.05560646519115653
2017-03-10,0.0500666376640293
2017-03-11,0.09543445686121887
2017-03-12,0.06773157716081868
2017-03-13,0.16121901765700275
2017-03-14,0.003272198792562353
2017-03-15,0.17032590724454444
2017-03-16,0.20526368642315984
2017-03-17,-0.02696796525841616
2017-03-18,-0.18252043824066788
2017-03-19,0.2010617266157424
2017-03-20,-0.006766844680415773
2017-03-21,0.012409502741348444
2017-03-22,-0.0256219615017782
2017-03-23,0.025686744621654434
2017-03-24,0.15630340654671815
2017-03-25,-0.03149171753482516
2017-03-26,0.0005494125764049507
2017-03-27,-0.012157252092331094
2017-03-28,0.01708955766507847
2017-03-29,0.040628579952107335
2017-03-30,-0.017046377830419734
2017-03-31,-0.022760042429349703
2017-04-01,0.010835053225078495
2017-04-02,-0.028074330550245996
2017-04-03,-0.05975995443976301
2017-04-04,0.004524159396715577
2017-04-05,0.006366565754249098
2017-04-06,-0.02082481818076798
2017-04-07,-0.015005930573398385
2017-04-08,0.0342794455184412
2017-04-09,-0.008126800972482306
2017-04-10,0.0005776413456544116
2017-04-11,0.0029015152788101073
2017-04-12,0.04360276977310784
2017-04-13,0.05284800252119726
2017-04-14,-0.03832797872057703
2017-04-15,0.024018212443591036
2017-04-16,-0.009955748237296502
2017-04-17,-0.0026754586234828404
2017-04-18,0.031077879243838202
2017-04-19,-0.029013078363975486
2017-04-20,0.024953685580412888
2017-04-21,-0.014556837026186709
2017-04-22,0.0012275032619795123
2017-04-23,0.005922979897904801
2017-04-24,0.016922766255603072
2017-04-25,0.0027804527404942103
2017-04-26,0.0488692723592834
2017-04-27,0.13829239241716396
2017-04-28,0.10656396315031769
2017-04-29,-0.025302492140279242
2017-04-30,0.10528565283118674
2017-05-01,-0.01589065201013007
2017-05-02,2.4201212408092587e-05
2017-05-03,0.031310947060571026
2017-05-04,0.12953213097052774
2017-05-05,-0.02938382236785153
2017-05-06,0.03529196164097592
2017-05-07,-0.03259588752256237
2017-05-08,-0.007965228171398109
2017-05-09,-0.015507897301961782
2017-05-10,0.017137468976239578
2017-05-11,0.008228589416739762
2017-05-12,-0.033918909342309345
2017-05-13,0.029658826652673387
2017-05-14,0.00688859441752343
2017-05-15,0.008853005518786983
2017-05-16,-0.018299068066593538
2017-05-17,0.00024929022796360556
2017-05-18,0.07889565592116488
2017-05-19,0.22138381416939512
2017-05-20,-0.002713276198568426
2017-05-21,0.14717807980958497
2017-05-22,0.06601838316533382
2017-05-23,0.04926375433757024
2017-05-24,0.1105381521883031
2017-05-25,-0.06613367855776009
2017-05-26,-0.061771851065087535
2017-05-27,-0.038322038828351945
2017-05-28,0.08344329494058145
2017-05-29,0.09447027419704512
2017-05-30,0.12344968343117113
2017-05-31,0.006906114810234509
2017-06-01,-0.019162083007440822
2017-06-02,0.009281375741901465
2017-06-03,0.0100286430793175
2017-06-04,0.06572943782569318
2017-06-05,0.017314927397757307
2017-06-06,0.057089101827843436
2017-06-07,-0.03161480122044025
2017-06-08,0.014646404730471296
2017-06-09,0.05471015532872303
2017-06-10,0.1515933558997602
2017-06-11,0.011204461386186582
2017-06-12,0.10388506267089759
2017-06-13,-0.00932441934738093
2017-06-14,-0.09453372517754743
2017-06-15,9.692396400784453e-05
2017-06-16,0.022184009391013948
2017-06-17,0.03700952040918293
2017-06-18,-0.03807536412191126
2017-06-19,0.016796590793318522
2017-06-20,-0.009164291151908421
2017-06-21,-0.055378968541940354
